det_id,region,lon,lat,area_ha
34,Congo Basin,11.390903572113242,-1.5026829346194335,17.799885874778898
35,Congo Basin,11.5476228513004,-1.4983710754096224,144.94229282276868
36,Congo Basin,11.388027989008886,-1.4940592161998125,33.05706999546612
37,Congo Basin,11.387937025233036,-1.4854354977801951,33.056909453450885
38,Congo Basin,11.561189523375887,-1.478967708965469,66.11406203207311
39,Congo Basin,11.383350905779745,-1.435849116867351,770.642456610484
40,Congo Basin,11.436730194737741,-1.4638762017311295,45.77118401346205
41,Congo Basin,11.430979120405105,-1.4581270561180495,17.799949670580233
42,Congo Basin,11.444637921945116,-1.457408412916414,10.171402973667554
43,Congo Basin,11.576820160549545,-1.442316905682064,61.02831115086551
44,Congo Basin,11.341746874875211,-1.4408796192787936,17.7999394495629
45,Congo Basin,11.586884460242032,-1.4387236896738955,10.171403334725404
46,Congo Basin,11.338780791718586,-1.4344118304640774,25.428351925155035
47,Congo Basin,11.427202147033448,-1.4200389664313695,10.171402643509042
48,Congo Basin,11.349473230189204,-1.3999169567855805,50.85695359272321
49,Congo Basin,11.860509691485728,-1.0614360088153536,17.799886086788852
50,Congo Basin,11.71541501976284,-0.1192947714714625,10.171253819992295
51,Congo Basin,11.154868846568458,-0.096298189019126,10.171261295400086
52,Congo Basin,11.011139058569906,-0.027308441662146,10.171274152327124
53,Congo Basin,10.973769313690266,0.0761761793733455,10.171266527442206
54,Congo Basin,10.961579548183865,0.1868472324251875,5.512104340882333
55,Congo Basin,10.963077119632063,0.210562458079148,17.799756883776848
56,Congo Basin,10.974032196243787,0.372257178447097,10.171310003748482
57,Congo Basin,11.292043312997098,0.5864128525344166,10.171325340649517
58,Congo Basin,11.966364812419165,0.7028330511993315,10.171261479021675
59,Congo Basin,11.954961070073885,0.7200804880385876,10.171305698110707
60,Congo Basin,11.96214813335996,0.7358906384745665,119.51256732977438
61,Congo Basin,11.955775250750662,0.745233000095818,17.799829865604828
62,Congo Basin,11.944994569731033,0.7732600849595965,10.171267183578111
63,Congo Basin,11.917059965022393,0.779727873774319,40.853618042377136
64,Congo Basin,11.939340217052777,0.7775719441694064,25.428301613852653
65,Congo Basin,11.942215088282499,0.7905075217988524,10.171307742313406
66,Congo Basin,11.937184063630472,0.79266345140375,17.799779539110204
67,Congo Basin,11.92209098967442,0.7933820946053856,10.171300876441284
68,Congo Basin,11.924965860904141,0.7991312402184656,10.171287072909344
69,Congo Basin,11.954528756927697,0.8228464658724335,43.22804523296032
70,Congo Basin,11.991853035143766,1.3467373598645733,437.0293368594636
71,Congo Basin,11.999856228883617,1.3718898719218076,99.1707061272126
72,Congo Basin,11.97838623620186,1.3862627359545154,66.11384191624222
73,Congo Basin,11.986197972827267,1.3812322335430705,10.171322849059573
74,Congo Basin,11.644960769587247,2.0136382509821518,10.171416295390117
75,Congo Basin,11.36281912980941,2.1703024689386514,10.171484099038716
76,Congo Basin,11.153212652317157,2.957216774729313,17.8003986428872
77,Congo Basin,11.52472395583294,3.6622057555335568,10.171771183083397
78,Congo Basin,11.368026824369203,3.7944361046344506,10.171828735522789
79,Congo Basin,10.647598575507715,5.417132453926993,10.172462409835655
80,Congo Basin,10.838308936825879,5.736210035453066,10.172627542954325
81,Congo Basin,10.883168890068251,6.782554537034084,10.173137736150467
82,Congo Basin,12.49915893689624,-4.5375131751253575,10.172166937966818
83,Congo Basin,12.619665513264145,-4.5044555878501376,30.516389330896352
84,Congo Basin,12.620184221065266,-4.494394583027242,89.18443989771546
85,Congo Basin,12.630997196635942,-4.494394583027248,10.172103644937724
86,Congo Basin,12.638205847016405,-4.4915200102207,25.430335925585204
87,Congo Basin,12.348849760762803,-4.388754032386854,180.5546470833998
88,Congo Basin,12.329043572967302,-4.367194736337796,27.973321143635264
89,Congo Basin,12.279737975879698,-4.349228656296907,25.43020052595133
90,Congo Basin,12.272432432432437,-4.345635440288733,38.145289283888275
91,Congo Basin,12.348560675821751,-4.283832124948096,17.801079342903346
92,Congo Basin,12.416948908265507,-4.234964387236895,119.52142024721591
93,Congo Basin,12.434964329466059,-4.234245744035254,10.172031891181069
94,Congo Basin,12.40676093327143,-4.226340668817277,17.80109010038041
95,Congo Basin,12.42261437699169,-4.226340668817277,17.80109010133323
96,Congo Basin,12.434864765320985,-4.225622025615641,10.172060664569415
97,Congo Basin,12.411805210818788,-4.222747452809093,10.172097352987723
98,Congo Basin,12.429000360302638,-4.216998307196011,51.035855142040155
99,Congo Basin,12.377787822170305,-4.216279663994376,17.626229251742195
100,Congo Basin,12.379800955987719,-4.208374588776385,10.172036092126975
101,Congo Basin,12.4014187690657,-4.204781372768217,33.05919576504423
102,Congo Basin,12.39483418469473,-4.2033440863649405,43.05606127112807
103,Congo Basin,12.26309805930956,-4.1631000670733656,206.15681943665194
104,Congo Basin,12.257857909147667,-4.150883132645564,25.430072871269065
105,Congo Basin,12.824775224775237,-2.398831007058678,10.171534548156217
106,Congo Basin,12.754597255632202,-2.350681912549104,33.057569792986456
107,Congo Basin,12.781005506229473,-2.337027691718041,25.428734672871254
108,Congo Basin,12.823441033796577,-2.330559902903315,38.14323600752965
109,Congo Basin,12.752133746763423,-2.3240921140886037,10.171498060535814
110,Congo Basin,12.557838459878703,-2.3111565364591575,10.171507232295955
111,Congo Basin,12.52439053623224,-2.0984381487751085,10.171459201956413
112,Congo Basin,12.558407107929298,-2.0301670446197537,48.31455914138663
113,Congo Basin,12.568390271963207,-1.930275639592451,40.68569839142067
114,Congo Basin,12.576968683527527,-1.919495991567918,81.19393970828828
115,Congo Basin,12.645947349498696,-1.9065604139384806,25.607289384340252
116,Congo Basin,12.586266128710129,-1.905841770736848,10.171484716747464
117,Congo Basin,12.601984564498334,-1.898655338720491,10.171444691076221
118,Congo Basin,12.96797232630039,-1.8023571497013564,10.171413415732935
119,Congo Basin,12.49738399725219,-1.5091507234341526,10.171415226830039
120,Congo Basin,12.50734871237779,-1.5019642914177955,10.171366615434149
121,Congo Basin,12.502316441945165,-1.4983710754096264,17.79992002435571
122,Congo Basin,12.315494397546585,-1.0679037976300694,10.171342712199538
123,Congo Basin,12.977880699512905,-0.527484110000315,40.68504744070459
124,Congo Basin,13.11442944981234,-0.523172250790505,94.08426756943898
125,Congo Basin,13.073464824722521,-0.5174231051774205,45.770742508526865
126,Congo Basin,13.092869120817701,-0.518860391580691,10.171275472788134
127,Congo Basin,13.056216561526796,-0.5109553163627085,17.799753554576593
128,Congo Basin,13.044717719396317,-0.5066434571528945,61.027776463875874
129,Congo Basin,13.098618541882939,-0.500175668338179,25.42826818021526
130,Congo Basin,13.109398706380262,-0.4929892363218215,25.42828734625805
131,Congo Basin,13.03742683520851,-0.459213005844963,17.79974386838849
132,Congo Basin,13.11576207169149,-0.44987064422371104,10.171295017081746
133,Congo Basin,13.04389488225756,-0.44699607141716347,10.171298905256535
134,Congo Basin,13.016585350272674,-0.429748634577918,109.52531044567192
135,Congo Basin,13.086192027596793,-0.4117825545370315,78.82729983242406
136,Congo Basin,13.101284016864714,-0.4110639113354,35.59942619944378
137,Congo Basin,13.069662706017645,-0.39812833370596146,76.28462097742876
138,Congo Basin,13.065350709083937,-0.37656903765689853,10.171305133837269
139,Congo Basin,13.088139003784928,-0.2227793925069435,48.31358825048174
140,Congo Basin,13.07448456489452,-0.2177488900954975,94.08440197595978
141,Congo Basin,13.09604420524778,-0.217030246893859,35.59950196317255
142,Congo Basin,13.106824025424412,-0.18828451882845648,10.171303044252568
143,Congo Basin,12.762379321083767,0.573477274904985,10.171266742653131
144,Congo Basin,12.867409844443731,0.5979111437605775,10.171304808711051
145,Congo Basin,12.43475899958476,0.5993484301638545,10.171302214317903
146,Congo Basin,12.426853419363066,0.6072535053818471,55.94207701917513
147,Congo Basin,12.488660682914368,0.6130026509949245,27.971007721679687
148,Congo Basin,12.480755102692699,0.6165958670030955,10.171270592693482
149,Congo Basin,12.470693455137823,0.6209077262129135,10.171262548062062
150,Congo Basin,12.458575227387051,0.6359992334472575,119.51293201036884
151,Congo Basin,12.388143132072138,0.6568398862946735,94.0842558496978
152,Congo Basin,12.430645393129236,0.678399182343733,10.171312365167092
153,Congo Basin,12.418427483110543,0.6963652623846195,17.799731465621797
154,Congo Basin,12.360311439409081,0.705707624005879,40.68525276743834
155,Congo Basin,12.286382802018778,0.753856718515446,17.79979575591445
156,Congo Basin,12.398699908961671,0.815660033856082,71.19927156422864
157,Congo Basin,12.395106291226766,0.8206905362675314,10.1713156422921
158,Congo Basin,13.073697829316204,1.0499377175891904,17.799807994975925
159,Congo Basin,13.077291676649565,1.0564055064039164,45.77083556368393
160,Congo Basin,13.090334070743465,1.0621546520169969,76.28503296819846
161,Congo Basin,13.10183447405623,1.0635919384202674,10.17135657197676
